time	V(n023)
0.000000000000000e+00	1.375060e-01
8.585041683772943e-06	9.131655e-02
2.575512505131883e-05	-1.372806e-03
6.009529178596651e-05	-1.862224e-01
1.000952917857845e-04	-3.942480e-01
1.400952917856024e-04	-5.832613e-01
1.800952917854204e-04	-7.415979e-01
2.137746068204827e-04	-8.461280e-01
2.296163373842752e-04	-8.821259e-01
2.450830627580558e-04	-9.059036e-01
2.631719741232885e-04	-9.212548e-01
2.864387247631939e-04	-9.196289e-01
3.241343523132656e-04	-8.736145e-01
3.641343523130836e-04	-7.729187e-01
4.041343523129015e-04	-6.204334e-01
4.441343523127195e-04	-4.259353e-01
4.841343523125374e-04	-2.031408e-01
5.241343523123554e-04	3.237351e-02
5.641343523121733e-04	2.641117e-01
6.041343523119913e-04	4.754670e-01
6.441343523118093e-04	6.511306e-01
6.841343523116272e-04	7.825270e-01
7.153147709191288e-04	8.521222e-01
7.315311902340582e-04	8.740049e-01
7.475517561634781e-04	8.848482e-01
7.640899724674632e-04	8.862502e-01
7.879314035119656e-04	8.704894e-01
8.265394232593870e-04	8.107755e-01
8.665394232592050e-04	7.098686e-01
9.065394232590229e-04	5.705036e-01
9.465394232588409e-04	3.991543e-01
9.865394232586588e-04	2.038507e-01
1.026539423258477e-03	-6.167718e-03
1.066539423258295e-03	-2.202976e-01
1.106539423258113e-03	-4.264053e-01
1.146539423257931e-03	-6.111343e-01
1.186539423257749e-03	-7.643333e-01
1.216226813157917e-03	-8.523976e-01
1.232664501753522e-03	-8.874319e-01
1.249564894247879e-03	-9.115767e-01
1.264838278914659e-03	-9.227869e-01
1.289147944009805e-03	-9.179598e-01
1.328498035646941e-03	-8.650334e-01
1.368498035646759e-03	-7.588241e-01
1.408498035646577e-03	-6.011682e-01
1.448498035646395e-03	-4.028702e-01
1.488498035646213e-03	-1.779045e-01
1.528498035646031e-03	5.801490e-02
1.568498035645849e-03	2.883346e-01
1.608498035645667e-03	4.964933e-01
1.648498035645485e-03	6.674681e-01
1.688498035645303e-03	7.941777e-01
1.716967057589613e-03	8.547051e-01
1.733584010735978e-03	8.757359e-01
1.749336707278726e-03	8.855971e-01
1.764753465180124e-03	8.862084e-01
1.789010070349484e-03	8.691868e-01
1.828276131746964e-03	8.069906e-01
1.868276131746782e-03	7.044618e-01
1.908276131746600e-03	5.635571e-01
1.948276131746418e-03	3.909946e-01
1.988276131746236e-03	1.948529e-01
2.028276131746054e-03	-1.557527e-02
2.068276131745872e-03	-2.296197e-01
2.108276131745690e-03	-4.350802e-01
2.148276131745508e-03	-6.185696e-01
2.188276131745326e-03	-7.703351e-01
2.216883296398908e-03	-8.541175e-01
2.233479979564468e-03	-8.891121e-01
2.249116598199929e-03	-9.113288e-01
2.264671653070760e-03	-9.227591e-01
2.288877073655993e-03	-9.182614e-01
2.328062059935743e-03	-8.660395e-01
2.368062059935561e-03	-7.603753e-01
2.408062059935379e-03	-6.032280e-01
2.448062059935197e-03	-4.053001e-01
2.488062059935015e-03	-1.805403e-01
2.528062059934832e-03	5.535058e-02
2.568062059934650e-03	2.858240e-01
2.608062059934468e-03	4.943125e-01
2.648062059934286e-03	6.657630e-01
2.688062059934104e-03	7.929440e-01
2.716802466491419e-03	8.543526e-01
2.733379585568851e-03	8.755062e-01
2.748904181692158e-03	8.853478e-01
2.764592699201263e-03	8.861036e-01
2.788748721112899e-03	8.693907e-01
2.827855447346206e-03	8.077999e-01
2.867855447346024e-03	7.056633e-01
2.907855447345842e-03	5.651305e-01
2.947855447345660e-03	3.928608e-01
2.987855447345478e-03	1.969213e-01
3.027855447345296e-03	-1.340822e-02
3.067855447345114e-03	-2.274740e-01
3.107855447344932e-03	-4.330919e-01
3.147855447344750e-03	-6.168822e-01
3.187855447344567e-03	-7.689952e-01
3.216724429487616e-03	-8.538074e-01
3.233282657230774e-03	-8.888934e-01
3.248699095317331e-03	-9.109309e-01
3.264516468734602e-03	-9.227096e-01
3.288624793772232e-03	-9.185179e-01
3.327655943248242e-03	-8.669502e-01
3.367655943248060e-03	-7.617953e-01
3.407655943247878e-03	-6.051235e-01
3.447655943247696e-03	-4.075420e-01
3.487655943247514e-03	-1.829762e-01
3.527655943247332e-03	5.288588e-02
3.567655943247150e-03	2.835003e-01
3.607655943246968e-03	4.922939e-01
3.647655943246786e-03	6.641862e-01
3.687655943246604e-03	7.918056e-01
3.716649055163224e-03	8.540400e-01
3.733189033128692e-03	8.753075e-01
3.748500997938553e-03	8.851275e-01
3.764442834786497e-03	8.860222e-01
3.788505085590366e-03	8.695953e-01
3.827463217516591e-03	8.085667e-01
3.867463217516409e-03	7.067962e-01
3.907463217516227e-03	5.666108e-01
3.947463217516045e-03	3.946149e-01
3.987463217515863e-03	1.988648e-01
4.027463217515681e-03	-1.137189e-02
4.067463217515499e-03	-2.254565e-01
4.107463217515317e-03	-4.312201e-01
4.147463217515135e-03	-6.152899e-01
4.187463217514953e-03	-7.677260e-01
4.216576220884782e-03	-8.535023e-01
4.233098561241544e-03	-8.886728e-01
4.248309568258168e-03	-9.105395e-01
4.264371677876522e-03	-9.226481e-01
4.288389402535397e-03	-9.187398e-01
4.327276959211535e-03	-8.677800e-01
4.367276959211353e-03	-7.631011e-01
4.407276959211170e-03	-6.068742e-01
4.447276959210988e-03	-4.096177e-01
4.487276959210806e-03	-1.852347e-01
4.527276959210624e-03	5.059860e-02
4.567276959210442e-03	2.813426e-01
4.607276959210260e-03	4.904193e-01
4.647276959210078e-03	6.627225e-01
4.687276959209896e-03	7.907507e-01
4.716505811092730e-03	8.537601e-01
4.733011098303042e-03	8.751331e-01
4.748124503455298e-03	8.849303e-01
4.764302885415628e-03	8.859582e-01
4.788277561759369e-03	8.697971e-01
4.827096875261283e-03	8.092916e-01
4.867096875261101e-03	7.078633e-01
4.907096875260919e-03	5.680031e-01
4.947096875260737e-03	3.962636e-01
4.987096875260555e-03	2.006910e-01
5.027096875260373e-03	-9.458189e-03
5.067096875260191e-03	-2.235595e-01
5.107096875260009e-03	-4.294581e-01
5.147096875259827e-03	-6.137881e-01
5.187096875259645e-03	-7.665253e-01
5.216437716816014e-03	-8.532053e-01
5.232926509209701e-03	-8.884539e-01
