time	V(n009)
0.000000000000000e+00	1.895844e-01
8.585041683772943e-06	1.369162e-01
2.575512505131883e-05	3.096899e-02
6.009529178596651e-05	-1.800533e-01
1.000952917857845e-04	-4.164582e-01
1.400952917856024e-04	-6.299883e-01
1.800952917854204e-04	-8.080484e-01
2.137746068204827e-04	-9.253804e-01
2.296163373842752e-04	-9.644948e-01
2.450830627580558e-04	-9.863729e-01
2.631719741232885e-04	-9.947748e-01
2.864387247631939e-04	-9.859801e-01
3.241343523132656e-04	-9.403360e-01
3.641343523130836e-04	-8.473513e-01
4.041343523129015e-04	-6.980011e-01
4.441343523127195e-04	-4.973670e-01
4.841343523125374e-04	-2.623350e-01
5.241343523123554e-04	-1.160825e-02
5.641343523121733e-04	2.369939e-01
6.041343523119913e-04	4.669435e-01
6.441343523118093e-04	6.639578e-01
6.841343523116272e-04	8.198038e-01
7.153147709191288e-04	9.098970e-01
7.315311902340582e-04	9.423280e-01
7.475517561634781e-04	9.628696e-01
7.640899724674632e-04	9.731312e-01
7.879314035119656e-04	9.674427e-01
8.265394232593870e-04	9.177628e-01
8.665394232592050e-04	8.187678e-01
9.065394232590229e-04	6.716492e-01
9.465394232588409e-04	4.834372e-01
9.865394232586588e-04	2.639341e-01
1.026539423258477e-03	2.518754e-02
1.066539423258295e-03	-2.188021e-01
1.106539423258113e-03	-4.527782e-01
1.146539423257931e-03	-6.612790e-01
1.186539423257749e-03	-8.334911e-01
1.216226813157917e-03	-9.321499e-01
1.232664501753522e-03	-9.695187e-01
1.249564894247879e-03	-9.905419e-01
1.264838278914659e-03	-9.955658e-01
1.289147944009805e-03	-9.838598e-01
1.328498035646941e-03	-9.325966e-01
1.368498035646759e-03	-8.339649e-01
1.408498035646577e-03	-6.783718e-01
1.448498035646395e-03	-4.731003e-01
1.488498035646213e-03	-2.354866e-01
1.528498035646031e-03	1.584926e-02
1.568498035645849e-03	2.631869e-01
1.608498035645667e-03	4.901935e-01
