time	V(vo)	V(n009)
0.000000000000000e+00	-2.289567e-02	1.905424e-01
1.135672389418474e-05	-9.521405e-02	1.206581e-01
3.407017168255422e-05	-2.376577e-01	-1.959974e-02
7.407017168237218e-05	-4.759297e-01	-2.634874e-01
1.140701716821901e-04	-6.871725e-01	-4.937488e-01
1.540701716820081e-04	-8.552579e-01	-6.957693e-01
1.940701716818261e-04	-9.739044e-01	-8.607891e-01
2.190624746352121e-04	-1.018153e+00	-9.388844e-01
2.361853458228147e-04	-1.029869e+00	-9.730940e-01
2.573731261152901e-04	-1.025357e+00	-9.921680e-01
2.770041409809743e-04	-1.002267e+00	-9.910953e-01
3.088900499506053e-04	-9.278982e-01	-9.627259e-01
3.488900499504233e-04	-7.857020e-01	-8.890493e-01
3.888900499502412e-04	-5.959716e-01	-7.617680e-01
4.288900499500592e-04	-3.693434e-01	-5.786148e-01
4.688900499498772e-04	-1.220072e-01	-3.542185e-01
5.088900499496951e-04	1.291289e-01	-1.072747e-01
5.488900499495131e-04	3.678487e-01	1.441737e-01
5.888900499493310e-04	5.797768e-01	3.830439e-01
6.288900499491490e-04	7.532353e-01	5.941018e-01
6.688900499489669e-04	8.796182e-01	7.648753e-01
7.088900499487849e-04	9.618633e-01	8.948129e-01
7.245874464811841e-04	9.786792e-01	9.307450e-01
7.430342618142127e-04	9.832096e-01	9.576834e-01
7.624095670299980e-04	9.748501e-01	9.725148e-01
7.851988297877810e-04	9.455566e-01	9.698145e-01
8.221350566315344e-04	8.608190e-01	9.265014e-01
8.621350566313524e-04	7.248123e-01	8.326302e-01
9.021350566311703e-04	5.446833e-01	6.905436e-01
9.421350566309883e-04	3.283810e-01	5.064304e-01
9.821350566308062e-04	8.772737e-02	2.898186e-01
1.022135056630624e-03	-1.628384e-01	5.251980e-02
1.062135056630442e-03	-4.071054e-01	-1.916371e-01
1.102135056630260e-03	-6.283441e-01	-4.274870e-01
1.142135056630078e-03	-8.107501e-01	-6.395358e-01
1.182135056629896e-03	-9.439571e-01	-8.157963e-01
1.214553807501240e-03	-1.012546e+00	-9.271163e-01
1.230585265066253e-03	-1.029269e+00	-9.658561e-01
1.245871220938444e-03	-1.031842e+00	-9.868103e-01
1.263465118368501e-03	-1.021006e+00	-9.943959e-01
1.286915412401335e-03	-9.831861e-01	-9.850720e-01
1.324902633621061e-03	-8.769671e-01	-9.384809e-01
1.364902633620879e-03	-7.154617e-01	-8.445590e-01
1.404902633620697e-03	-5.091373e-01	-6.941584e-01
1.444902633620515e-03	-2.721972e-01	-4.927256e-01
1.484902633620333e-03	-2.130932e-02	-2.572412e-01
1.524902633620151e-03	2.267351e-01	-6.405557e-03
1.564902633619969e-03	4.563335e-01	2.419803e-01
1.604902633619787e-03	6.541060e-01	4.714204e-01
1.644902633619605e-03	8.095808e-01	6.676776e-01
1.684902633619423e-03	9.186016e-01	8.227489e-01
1.715606501102140e-03	9.696734e-01	9.108996e-01
1.731893745335000e-03	9.820885e-01	9.431717e-01
1.748195813476627e-03	9.830347e-01	9.638440e-01
1.764329393023178e-03	9.735724e-01	9.736121e-01
1.788320657253539e-03	9.395692e-01	9.674761e-01
1.827166268224545e-03	8.456437e-01	9.168580e-01
1.867166268224363e-03	7.042042e-01	8.171346e-01
1.907166268224181e-03	5.189714e-01	6.693136e-01
1.947166268223999e-03	2.988998e-01	4.805413e-01
1.987166268223817e-03	5.616445e-02	2.606355e-01
2.027166268223635e-03	-1.945212e-01	2.168148e-02
2.067166268223453e-03	-4.368057e-01	-2.222800e-01
2.107166268223271e-03	-6.539900e-01	-4.559802e-01
2.147166268223089e-03	-8.304903e-01	-6.639658e-01
2.187166268222906e-03	-9.576483e-01	-8.355952e-01
2.216463958209847e-03	-1.015396e+00	-9.324846e-01
2.232959107476784e-03	-1.030593e+00	-9.701561e-01
2.248014494117268e-03	-1.031944e+00	-9.892197e-01
2.264261991896888e-03	-1.020776e+00	-9.949678e-01
2.288211077475122e-03	-9.805738e-01	-9.842714e-01
2.326989817919678e-03	-8.698528e-01	-9.350032e-01
2.366989817919496e-03	-7.059469e-01	-8.383585e-01
2.406989817919314e-03	-4.976305e-01	-6.849469e-01
2.446989817919132e-03	-2.595381e-01	-4.812779e-01
2.486989817918950e-03	-8.382875e-03	-2.445441e-01
2.526989817918768e-03	2.390732e-01	6.596749e-03
2.566989817918586e-03	4.673227e-01	2.543884e-01
2.606989817918404e-03	6.631249e-01	4.824280e-01
2.646989817918222e-03	8.161671e-01	6.766207e-01
2.686989817918040e-03	9.229071e-01	8.295926e-01
